modelo,accuracy,macro_f1,weighted_f1,top3_acc
RF (val),0.5041208791208791,0.1645592991853432,0.42580446981584863,0.760989010989011
LightGBM (val),0.4610805860805861,0.29234802914975816,0.4752006306981553,0.6355311355311355
MLP (val),0.6382783882783882,0.42014258087698864,0.6165040466895761,0.8415750915750916
